id,date,division,sehar_start,sehar_end,ifter
430,2024-03-21,Bogra,,04:45:00.000,18:17:00.000
431,2024-03-22,Bogra,,04:44:00.000,18:18:00.000
432,2024-03-23,Bogra,,04:43:00.000,18:18:00.000
433,2024-03-24,Bogra,,04:42:00.000,18:18:00.000
434,2024-03-25,Bogra,,04:41:00.000,18:19:00.000
435,2024-03-26,Bogra,,04:39:00.000,18:19:00.000
436,2024-03-27,Bogra,,04:38:00.000,18:20:00.000
437,2024-03-28,Bogra,,04:37:00.000,18:20:00.000
438,2024-03-29,Bogra,,04:36:00.000,18:21:00.000
439,2024-03-30,Bogra,,04:34:00.000,18:21:00.000
440,2024-03-31,Bogra,,04:33:00.000,18:22:00.000
441,2024-04-01,Bogra,,04:32:00.000,18:22:00.000
442,2024-04-02,Bogra,,04:31:00.000,18:23:00.000
443,2024-04-03,Bogra,,04:30:00.000,18:23:00.000
444,2024-04-04,Bogra,,04:29:00.000,18:23:00.000
445,2024-04-05,Bogra,,04:27:00.000,18:24:00.000
446,2024-04-06,Bogra,,04:27:00.000,18:24:00.000
447,2024-04-07,Bogra,,04:26:00.000,18:25:00.000
448,2024-04-08,Bogra,,04:25:00.000,18:25:00.000
449,2024-04-09,Bogra,,04:24:00.000,18:25:00.000
450,2024-04-10,Bogra,,04:23:00.000,18:26:00.000
451,2024-03-12,Rajshahi,,04:57:00.000,18:17:00.000
452,2024-03-13,Rajshahi,,04:56:00.000,18:17:00.000
453,2024-03-14,Rajshahi,,04:55:00.000,18:18:00.000
454,2024-03-15,Rajshahi,,04:54:00.000,18:18:00.000
455,2024-03-16,Rajshahi,,04:53:00.000,18:19:00.000
456,2024-03-17,Rajshahi,,04:52:00.000,18:19:00.000
457,2024-03-18,Rajshahi,,04:51:00.000,18:19:00.000
458,2024-03-19,Rajshahi,,04:50:00.000,18:20:00.000
459,2024-03-20,Rajshahi,,04:49:00.000,18:20:00.000
460,2024-03-21,Rajshahi,,04:48:00.000,18:20:00.000
461,2024-03-22,Rajshahi,,04:47:00.000,18:21:00.000
462,2024-03-23,Rajshahi,,04:46:00.000,18:21:00.000
463,2024-03-24,Rajshahi,,04:45:00.000,18:21:00.000
464,2024-03-25,Rajshahi,,04:44:00.000,18:22:00.000
465,2024-03-26,Rajshahi,,04:42:00.000,18:22:00.000
466,2024-03-27,Rajshahi,,04:41:00.000,18:23:00.000
467,2024-03-28,Rajshahi,,04:40:00.000,18:23:00.000
468,2024-03-29,Rajshahi,,04:39:00.000,18:24:00.000
469,2024-03-30,Rajshahi,,04:37:00.000,18:24:00.000
470,2024-03-31,Rajshahi,,04:36:00.000,18:25:00.000
471,2024-04-01,Rajshahi,,04:35:00.000,18:25:00.000
472,2024-04-02,Rajshahi,,04:34:00.000,18:26:00.000
473,2024-04-03,Rajshahi,,04:33:00.000,18:26:00.000
474,2024-04-04,Rajshahi,,04:32:00.000,18:26:00.000
475,2024-04-05,Rajshahi,,04:30:00.000,18:27:00.000
476,2024-04-06,Rajshahi,,04:30:00.000,18:27:00.000
477,2024-04-07,Rajshahi,,04:29:00.000,18:28:00.000
478,2024-04-08,Rajshahi,,04:28:00.000,18:28:00.000
479,2024-04-09,Rajshahi,,04:27:00.000,18:28:00.000
480,2024-04-10,Rajshahi,,04:26:00.000,18:29:00.000
481,2024-03-12,Natore,,04:56:00.000,18:16:00.000
482,2024-03-13,Natore,,04:55:00.000,18:16:00.000
483,2024-03-14,Natore,,04:54:00.000,18:17:00.000
484,2024-03-15,Natore,,04:53:00.000,18:17:00.000
485,2024-03-16,Natore,,04:52:00.000,18:18:00.000
486,2024-03-17,Natore,,04:51:00.000,18:18:00.000
487,2024-03-18,Natore,,04:50:00.000,18:18:00.000
488,2024-03-19,Natore,,04:49:00.000,18:19:00.000
489,2024-03-20,Natore,,04:48:00.000,18:19:00.000
490,2024-03-21,Natore,,04:47:00.000,18:19:00.000
491,2024-03-22,Natore,,04:46:00.000,18:20:00.000
492,2024-03-23,Natore,,04:45:00.000,18:20:00.000
493,2024-03-24,Natore,,04:44:00.000,18:20:00.000
494,2024-03-25,Natore,,04:43:00.000,18:21:00.000
495,2024-03-26,Natore,,04:41:00.000,18:21:00.000
496,2024-03-27,Natore,,04:40:00.000,18:22:00.000
497,2024-03-28,Natore,,04:39:00.000,18:22:00.000
498,2024-03-29,Natore,,04:38:00.000,18:23:00.000
499,2024-03-30,Natore,,04:36:00.000,18:23:00.000
500,2024-03-31,Natore,,04:35:00.000,18:24:00.000
501,2024-04-01,Natore,,04:34:00.000,18:24:00.000
502,2024-04-02,Natore,,04:33:00.000,18:25:00.000
503,2024-04-03,Natore,,04:32:00.000,18:25:00.000
504,2024-04-04,Natore,,04:31:00.000,18:25:00.000
505,2024-04-05,Natore,,04:29:00.000,18:26:00.000
506,2024-04-06,Natore,,04:29:00.000,18:26:00.000
507,2024-04-07,Natore,,04:28:00.000,18:27:00.000
508,2024-04-08,Natore,,04:27:00.000,18:27:00.000
509,2024-04-09,Natore,,04:26:00.000,18:27:00.000
510,2024-04-10,Natore,,04:25:00.000,18:28:00.000
511,2024-03-12,Joypurhat,,04:55:00.000,18:16:00.000
512,2024-03-13,Joypurhat,,04:54:00.000,18:16:00.000
513,2024-03-14,Joypurhat,,04:53:00.000,18:17:00.000
514,2024-03-15,Joypurhat,,04:52:00.000,18:17:00.000
515,2024-03-16,Joypurhat,,04:51:00.000,18:18:00.000
516,2024-03-17,Joypurhat,,04:50:00.000,18:18:00.000
517,2024-03-18,Joypurhat,,04:49:00.000,18:18:00.000
518,2024-03-19,Joypurhat,,04:48:00.000,18:19:00.000
519,2024-03-20,Joypurhat,,04:47:00.000,18:19:00.000
520,2024-03-21,Joypurhat,,04:46:00.000,18:19:00.000
521,2024-03-22,Joypurhat,,04:45:00.000,18:20:00.000
522,2024-03-23,Joypurhat,,04:44:00.000,18:20:00.000
523,2024-03-24,Joypurhat,,04:43:00.000,18:20:00.000
524,2024-03-25,Joypurhat,,04:42:00.000,18:21:00.000
525,2024-03-26,Joypurhat,,04:40:00.000,18:21:00.000
526,2024-03-27,Joypurhat,,04:39:00.000,18:22:00.000
527,2024-03-28,Joypurhat,,04:38:00.000,18:22:00.000
528,2024-03-29,Joypurhat,,04:37:00.000,18:23:00.000
529,2024-03-30,Joypurhat,,04:35:00.000,18:23:00.000
530,2024-03-31,Joypurhat,,04:34:00.000,18:24:00.000
531,2024-04-01,Joypurhat,,04:33:00.000,18:24:00.000
532,2024-04-02,Joypurhat,,04:32:00.000,18:25:00.000
533,2024-04-03,Joypurhat,,04:31:00.000,18:25:00.000
534,2024-04-04,Joypurhat,,04:30:00.000,18:25:00.000
535,2024-04-05,Joypurhat,,04:28:00.000,18:26:00.000
536,2024-04-06,Joypurhat,,04:28:00.000,18:26:00.000
537,2024-04-07,Joypurhat,,04:27:00.000,18:27:00.000
538,2024-04-08,Joypurhat,,04:26:00.000,18:27:00.000
539,2024-04-09,Joypurhat,,04:25:00.000,18:27:00.000
540,2024-04-10,Joypurhat,,04:24:00.000,18:28:00.000
541,2024-03-12,Chapainawabganj,,04:59:00.000,18:19:00.000
542,2024-03-13,Chapainawabganj,,04:58:00.000,18:19:00.000
543,2024-03-14,Chapainawabganj,,04:57:00.000,18:20:00.000
544,2024-03-15,Chapainawabganj,,04:56:00.000,18:20:00.000
545,2024-03-16,Chapainawabganj,,04:55:00.000,18:21:00.000
546,2024-03-17,Chapainawabganj,,04:54:00.000,18:21:00.000
547,2024-03-18,Chapainawabganj,,04:53:00.000,18:21:00.000
548,2024-03-19,Chapainawabganj,,04:52:00.000,18:22:00.000
549,2024-03-20,Chapainawabganj,,04:51:00.000,18:22:00.000
550,2024-03-21,Chapainawabganj,,04:50:00.000,18:22:00.000
551,2024-03-22,Chapainawabganj,,04:49:00.000,18:23:00.000
552,2024-03-23,Chapainawabganj,,04:48:00.000,18:23:00.000
553,2024-03-24,Chapainawabganj,,04:47:00.000,18:23:00.000
554,2024-03-25,Chapainawabganj,,04:46:00.000,18:24:00.000
555,2024-03-26,Chapainawabganj,,04:44:00.000,18:24:00.000
556,2024-03-27,Chapainawabganj,,04:43:00.000,18:25:00.000
557,2024-03-28,Chapainawabganj,,04:42:00.000,18:25:00.000
558,2024-03-29,Chapainawabganj,,04:41:00.000,18:26:00.000
559,2024-03-30,Chapainawabganj,,04:39:00.000,18:26:00.000
560,2024-03-31,Chapainawabganj,,04:38:00.000,18:27:00.000
561,2024-04-01,Chapainawabganj,,04:37:00.000,18:27:00.000
562,2024-04-02,Chapainawabganj,,04:36:00.000,18:28:00.000
563,2024-04-03,Chapainawabganj,,04:35:00.000,18:28:00.000
564,2024-04-04,Chapainawabganj,,04:34:00.000,18:28:00.000
565,2024-04-05,Chapainawabganj,,04:32:00.000,18:29:00.000
566,2024-04-06,Chapainawabganj,,04:32:00.000,18:29:00.000
567,2024-04-07,Chapainawabganj,,04:31:00.000,18:30:00.000
568,2024-04-08,Chapainawabganj,,04:30:00.000,18:30:00.000
569,2024-04-09,Chapainawabganj,,04:29:00.000,18:30:00.000
570,2024-04-10,Chapainawabganj,,04:28:00.000,18:31:00.000
571,2024-03-12,Naogaon,,04:56:00.000,18:16:00.000
572,2024-03-13,Naogaon,,04:55:00.000,18:16:00.000
573,2024-03-14,Naogaon,,04:54:00.000,18:17:00.000
574,2024-03-15,Naogaon,,04:53:00.000,18:17:00.000
575,2024-03-16,Naogaon,,04:52:00.000,18:18:00.000
576,2024-03-17,Naogaon,,04:51:00.000,18:18:00.000
577,2024-03-18,Naogaon,,04:50:00.000,18:18:00.000
578,2024-03-19,Naogaon,,04:49:00.000,18:19:00.000
579,2024-03-20,Naogaon,,04:48:00.000,18:19:00.000
580,2024-03-21,Naogaon,,04:47:00.000,18:19:00.000
581,2024-03-22,Naogaon,,04:46:00.000,18:20:00.000
582,2024-03-23,Naogaon,,04:45:00.000,18:20:00.000
583,2024-03-24,Naogaon,,04:44:00.000,18:20:00.000
584,2024-03-25,Naogaon,,04:43:00.000,18:21:00.000
585,2024-03-26,Naogaon,,04:41:00.000,18:21:00.000
586,2024-03-27,Naogaon,,04:40:00.000,18:22:00.000
587,2024-03-28,Naogaon,,04:39:00.000,18:22:00.000
588,2024-03-29,Naogaon,,04:38:00.000,18:23:00.000
589,2024-03-30,Naogaon,,04:36:00.000,18:23:00.000
590,2024-03-31,Naogaon,,04:35:00.000,18:24:00.000
591,2024-04-01,Naogaon,,04:34:00.000,18:24:00.000
592,2024-04-02,Naogaon,,04:33:00.000,18:25:00.000
593,2024-04-03,Naogaon,,04:32:00.000,18:25:00.000
594,2024-04-04,Naogaon,,04:31:00.000,18:25:00.000
595,2024-04-05,Naogaon,,04:29:00.000,18:26:00.000
596,2024-04-06,Naogaon,,04:29:00.000,18:26:00.000
597,2024-04-07,Naogaon,,04:28:00.000,18:27:00.000
598,2024-04-08,Naogaon,,04:27:00.000,18:27:00.000
599,2024-04-09,Naogaon,,04:26:00.000,18:27:00.000
600,2024-04-10,Naogaon,,04:25:00.000,18:28:00.000
601,2024-03-12,Jessore,,04:56:00.000,18:15:00.000
602,2024-03-13,Jessore,,04:55:00.000,18:15:00.000
603,2024-03-14,Jessore,,04:54:00.000,18:16:00.000
604,2024-03-15,Jessore,,04:53:00.000,18:16:00.000
605,2024-03-16,Jessore,,04:52:00.000,18:17:00.000
606,2024-03-17,Jessore,,04:51:00.000,18:17:00.000
607,2024-03-18,Jessore,,04:50:00.000,18:17:00.000
608,2024-03-19,Jessore,,04:49:00.000,18:18:00.000
609,2024-03-20,Jessore,,04:48:00.000,18:18:00.000
610,2024-03-21,Jessore,,04:47:00.000,18:18:00.000
611,2024-03-22,Jessore,,04:46:00.000,18:19:00.000
612,2024-03-23,Jessore,,04:45:00.000,18:19:00.000
613,2024-03-24,Jessore,,04:44:00.000,18:19:00.000
614,2024-03-25,Jessore,,04:43:00.000,18:20:00.000
615,2024-03-26,Jessore,,04:41:00.000,18:20:00.000
616,2024-03-27,Jessore,,04:40:00.000,18:21:00.000
617,2024-03-28,Jessore,,04:39:00.000,18:21:00.000
618,2024-03-29,Jessore,,04:38:00.000,18:22:00.000
619,2024-03-30,Jessore,,04:36:00.000,18:22:00.000
620,2024-03-31,Jessore,,04:35:00.000,18:23:00.000
621,2024-04-01,Jessore,,04:34:00.000,18:23:00.000
622,2024-04-02,Jessore,,04:33:00.000,18:24:00.000
623,2024-04-03,Jessore,,04:32:00.000,18:24:00.000
624,2024-04-04,Jessore,,04:31:00.000,18:24:00.000
625,2024-04-05,Jessore,,04:29:00.000,18:25:00.000
626,2024-04-06,Jessore,,04:29:00.000,18:25:00.000
627,2024-04-07,Jessore,,04:28:00.000,18:26:00.000
628,2024-04-08,Jessore,,04:27:00.000,18:26:00.000
629,2024-04-09,Jessore,,04:26:00.000,18:26:00.000
630,2024-04-10,Jessore,,04:25:00.000,18:27:00.000
631,2024-03-12,Satkhira,,04:57:00.000,18:15:00.000
632,2024-03-13,Satkhira,,04:56:00.000,18:15:00.000
633,2024-03-14,Satkhira,,04:55:00.000,18:16:00.000
634,2024-03-15,Satkhira,,04:54:00.000,18:16:00.000
635,2024-03-16,Satkhira,,04:53:00.000,18:17:00.000
636,2024-03-17,Satkhira,,04:52:00.000,18:17:00.000
637,2024-03-18,Satkhira,,04:51:00.000,18:17:00.000
638,2024-03-19,Satkhira,,04:50:00.000,18:18:00.000
639,2024-03-20,Satkhira,,04:49:00.000,18:18:00.000
640,2024-03-21,Satkhira,,04:48:00.000,18:18:00.000
641,2024-03-22,Satkhira,,04:47:00.000,18:19:00.000
642,2024-03-23,Satkhira,,04:46:00.000,18:19:00.000
643,2024-03-24,Satkhira,,04:45:00.000,18:19:00.000
644,2024-03-25,Satkhira,,04:44:00.000,18:20:00.000
645,2024-03-26,Satkhira,,04:42:00.000,18:20:00.000
646,2024-03-27,Satkhira,,04:41:00.000,18:21:00.000
647,2024-03-28,Satkhira,,04:40:00.000,18:21:00.000
648,2024-03-29,Satkhira,,04:39:00.000,18:22:00.000
649,2024-03-30,Satkhira,,04:37:00.000,18:22:00.000
650,2024-03-31,Satkhira,,04:36:00.000,18:23:00.000
651,2024-04-01,Satkhira,,04:35:00.000,18:23:00.000
652,2024-04-02,Satkhira,,04:34:00.000,18:24:00.000
653,2024-04-03,Satkhira,,04:33:00.000,18:24:00.000
654,2024-04-04,Satkhira,,04:32:00.000,18:24:00.000
655,2024-04-05,Satkhira,,04:30:00.000,18:25:00.000
656,2024-04-06,Satkhira,,04:30:00.000,18:25:00.000
657,2024-04-07,Satkhira,,04:29:00.000,18:26:00.000
658,2024-04-08,Satkhira,,04:28:00.000,18:26:00.000
659,2024-04-09,Satkhira,,04:27:00.000,18:26:00.000
660,2024-04-10,Satkhira,,04:26:00.000,18:27:00.000
661,2024-03-12,Meherpur,,04:58:00.000,18:17:00.000
662,2024-03-13,Meherpur,,04:57:00.000,18:17:00.000
663,2024-03-14,Meherpur,,04:56:00.000,18:18:00.000
664,2024-03-15,Meherpur,,04:55:00.000,18:18:00.000
665,2024-03-16,Meherpur,,04:54:00.000,18:19:00.000
666,2024-03-17,Meherpur,,04:53:00.000,18:19:00.000
667,2024-03-18,Meherpur,,04:52:00.000,18:19:00.000
668,2024-03-19,Meherpur,,04:51:00.000,18:20:00.000
669,2024-03-20,Meherpur,,04:50:00.000,18:20:00.000
670,2024-03-21,Meherpur,,04:49:00.000,18:20:00.000
671,2024-03-22,Meherpur,,04:48:00.000,18:21:00.000
672,2024-03-23,Meherpur,,04:47:00.000,18:21:00.000
673,2024-03-24,Meherpur,,04:46:00.000,18:21:00.000
674,2024-03-25,Meherpur,,04:45:00.000,18:22:00.000
675,2024-03-26,Meherpur,,04:43:00.000,18:22:00.000
676,2024-03-27,Meherpur,,04:42:00.000,18:23:00.000
677,2024-03-28,Meherpur,,04:41:00.000,18:23:00.000
678,2024-03-29,Meherpur,,04:40:00.000,18:24:00.000
679,2024-03-30,Meherpur,,04:38:00.000,18:24:00.000
680,2024-03-31,Meherpur,,04:37:00.000,18:25:00.000
681,2024-04-01,Meherpur,,04:36:00.000,18:25:00.000
682,2024-04-02,Meherpur,,04:35:00.000,18:26:00.000
683,2024-04-03,Meherpur,,04:34:00.000,18:26:00.000
684,2024-04-04,Meherpur,,04:33:00.000,18:26:00.000
685,2024-04-05,Meherpur,,04:31:00.000,18:27:00.000
686,2024-04-06,Meherpur,,04:31:00.000,18:27:00.000
687,2024-04-07,Meherpur,,04:30:00.000,18:28:00.000
688,2024-04-08,Meherpur,,04:29:00.000,18:28:00.000
689,2024-04-09,Meherpur,,04:28:00.000,18:28:00.000
690,2024-04-10,Meherpur,,04:27:00.000,18:29:00.000
691,2024-03-12,Narail,,04:55:00.000,18:13:00.000
692,2024-03-13,Narail,,04:54:00.000,18:13:00.000
693,2024-03-14,Narail,,04:53:00.000,18:14:00.000
694,2024-03-15,Narail,,04:52:00.000,18:14:00.000
695,2024-03-16,Narail,,04:51:00.000,18:15:00.000
696,2024-03-17,Narail,,04:50:00.000,18:15:00.000
697,2024-03-18,Narail,,04:49:00.000,18:15:00.000
698,2024-03-19,Narail,,04:48:00.000,18:16:00.000
699,2024-03-20,Narail,,04:47:00.000,18:16:00.000
700,2024-03-21,Narail,,04:46:00.000,18:16:00.000
701,2024-03-22,Narail,,04:45:00.000,18:17:00.000
702,2024-03-23,Narail,,04:44:00.000,18:17:00.000
703,2024-03-24,Narail,,04:43:00.000,18:17:00.000
704,2024-03-25,Narail,,04:42:00.000,18:18:00.000
705,2024-03-26,Narail,,04:40:00.000,18:18:00.000
706,2024-03-27,Narail,,04:39:00.000,18:19:00.000
707,2024-03-28,Narail,,04:38:00.000,18:19:00.000
708,2024-03-29,Narail,,04:37:00.000,18:20:00.000
709,2024-03-30,Narail,,04:35:00.000,18:20:00.000
710,2024-03-31,Narail,,04:34:00.000,18:21:00.000
711,2024-04-01,Narail,,04:33:00.000,18:21:00.000
712,2024-04-02,Narail,,04:32:00.000,18:22:00.000
713,2024-04-03,Narail,,04:31:00.000,18:22:00.000
714,2024-04-04,Narail,,04:30:00.000,18:22:00.000
715,2024-04-05,Narail,,04:28:00.000,18:23:00.000
716,2024-04-06,Narail,,04:28:00.000,18:23:00.000
717,2024-04-07,Narail,,04:27:00.000,18:24:00.000
718,2024-04-08,Narail,,04:26:00.000,18:24:00.000
719,2024-04-09,Narail,,04:25:00.000,18:24:00.000
720,2024-04-10,Narail,,04:24:00.000,18:25:00.000
721,2024-03-12,Chuadanga,,04:57:00.000,18:16:00.000
722,2024-03-13,Chuadanga,,04:56:00.000,18:16:00.000
723,2024-03-14,Chuadanga,,04:55:00.000,18:17:00.000
724,2024-03-15,Chuadanga,,04:54:00.000,18:17:00.000
725,2024-03-16,Chuadanga,,04:53:00.000,18:18:00.000
726,2024-03-17,Chuadanga,,04:52:00.000,18:18:00.000
727,2024-03-18,Chuadanga,,04:51:00.000,18:18:00.000
728,2024-03-19,Chuadanga,,04:50:00.000,18:19:00.000
729,2024-03-20,Chuadanga,,04:49:00.000,18:19:00.000
730,2024-03-21,Chuadanga,,04:48:00.000,18:19:00.000
731,2024-03-22,Chuadanga,,04:47:00.000,18:20:00.000
732,2024-03-23,Chuadanga,,04:46:00.000,18:20:00.000
733,2024-03-24,Chuadanga,,04:45:00.000,18:20:00.000
734,2024-03-25,Chuadanga,,04:44:00.000,18:21:00.000
735,2024-03-26,Chuadanga,,04:42:00.000,18:21:00.000
736,2024-03-27,Chuadanga,,04:41:00.000,18:22:00.000
737,2024-03-28,Chuadanga,,04:40:00.000,18:22:00.000
738,2024-03-29,Chuadanga,,04:39:00.000,18:23:00.000
739,2024-03-30,Chuadanga,,04:37:00.000,18:23:00.000
740,2024-03-31,Chuadanga,,04:36:00.000,18:24:00.000
741,2024-04-01,Chuadanga,,04:35:00.000,18:24:00.000
742,2024-04-02,Chuadanga,,04:34:00.000,18:25:00.000
743,2024-04-03,Chuadanga,,04:33:00.000,18:25:00.000
744,2024-04-04,Chuadanga,,04:32:00.000,18:25:00.000
745,2024-04-05,Chuadanga,,04:30:00.000,18:26:00.000
746,2024-04-06,Chuadanga,,04:30:00.000,18:26:00.000
747,2024-04-07,Chuadanga,,04:29:00.000,18:27:00.000
748,2024-04-08,Chuadanga,,04:28:00.000,18:27:00.000
749,2024-04-09,Chuadanga,,04:27:00.000,18:27:00.000
750,2024-04-10,Chuadanga,,04:26:00.000,18:28:00.000
751,2024-03-12,Kushtia,,04:56:00.000,18:15:00.000
752,2024-03-13,Kushtia,,04:55:00.000,18:15:00.000
753,2024-03-14,Kushtia,,04:54:00.000,18:16:00.000
754,2024-03-15,Kushtia,,04:53:00.000,18:16:00.000
755,2024-03-16,Kushtia,,04:52:00.000,18:17:00.000
756,2024-03-17,Kushtia,,04:51:00.000,18:17:00.000
757,2024-03-18,Kushtia,,04:50:00.000,18:17:00.000
758,2024-03-19,Kushtia,,04:49:00.000,18:18:00.000
759,2024-03-20,Kushtia,,04:48:00.000,18:18:00.000
760,2024-03-21,Kushtia,,04:47:00.000,18:18:00.000
761,2024-03-22,Kushtia,,04:46:00.000,18:19:00.000
762,2024-03-23,Kushtia,,04:45:00.000,18:19:00.000
763,2024-03-24,Kushtia,,04:44:00.000,18:19:00.000
764,2024-03-25,Kushtia,,04:43:00.000,18:20:00.000
765,2024-03-26,Kushtia,,04:41:00.000,18:20:00.000
766,2024-03-27,Kushtia,,04:40:00.000,18:21:00.000
767,2024-03-28,Kushtia,,04:39:00.000,18:21:00.000
768,2024-03-29,Kushtia,,04:38:00.000,18:22:00.000
769,2024-03-30,Kushtia,,04:36:00.000,18:22:00.000
770,2024-03-31,Kushtia,,04:35:00.000,18:23:00.000
771,2024-04-01,Kushtia,,04:34:00.000,18:23:00.000
772,2024-04-02,Kushtia,,04:33:00.000,18:24:00.000
773,2024-04-03,Kushtia,,04:32:00.000,18:24:00.000
774,2024-04-04,Kushtia,,04:31:00.000,18:24:00.000
775,2024-04-05,Kushtia,,04:29:00.000,18:25:00.000
776,2024-04-06,Kushtia,,04:29:00.000,18:25:00.000
777,2024-04-07,Kushtia,,04:28:00.000,18:26:00.000
778,2024-04-08,Kushtia,,04:27:00.000,18:26:00.000
779,2024-04-09,Kushtia,,04:26:00.000,18:26:00.000
780,2024-04-10,Kushtia,,04:25:00.000,18:27:00.000
781,2024-03-12,Magura,,04:55:00.000,18:14:00.000
782,2024-03-13,Magura,,04:54:00.000,18:14:00.000
783,2024-03-14,Magura,,04:53:00.000,18:15:00.000
784,2024-03-15,Magura,,04:52:00.000,18:15:00.000
785,2024-03-16,Magura,,04:51:00.000,18:16:00.000
786,2024-03-17,Magura,,04:50:00.000,18:16:00.000
787,2024-03-18,Magura,,04:49:00.000,18:16:00.000
788,2024-03-19,Magura,,04:48:00.000,18:17:00.000
789,2024-03-20,Magura,,04:47:00.000,18:17:00.000
790,2024-03-21,Magura,,04:46:00.000,18:17:00.000
791,2024-03-22,Magura,,04:45:00.000,18:18:00.000
792,2024-03-23,Magura,,04:44:00.000,18:18:00.000
793,2024-03-24,Magura,,04:43:00.000,18:18:00.000
794,2024-03-25,Magura,,04:42:00.000,18:19:00.000
795,2024-03-26,Magura,,04:40:00.000,18:19:00.000
796,2024-03-27,Magura,,04:39:00.000,18:20:00.000
797,2024-03-28,Magura,,04:38:00.000,18:20:00.000
798,2024-03-29,Magura,,04:37:00.000,18:21:00.000
799,2024-03-30,Magura,,04:35:00.000,18:21:00.000
800,2024-03-31,Magura,,04:34:00.000,18:22:00.000
801,2024-04-01,Magura,,04:33:00.000,18:22:00.000
802,2024-04-02,Magura,,04:32:00.000,18:23:00.000
803,2024-04-03,Magura,,04:31:00.000,18:23:00.000
804,2024-04-04,Magura,,04:30:00.000,18:23:00.000
805,2024-04-05,Magura,,04:28:00.000,18:24:00.000
806,2024-04-06,Magura,,04:28:00.000,18:24:00.000
807,2024-04-07,Magura,,04:27:00.000,18:25:00.000
808,2024-04-08,Magura,,04:26:00.000,18:25:00.000
809,2024-04-09,Magura,,04:25:00.000,18:25:00.000
810,2024-04-10,Magura,,04:24:00.000,18:26:00.000
811,2024-03-12,Khulna,,04:55:00.000,18:13:00.000
812,2024-03-13,Khulna,,04:54:00.000,18:13:00.000
813,2024-03-14,Khulna,,04:53:00.000,18:14:00.000
814,2024-03-15,Khulna,,04:52:00.000,18:14:00.000
815,2024-03-16,Khulna,,04:51:00.000,18:15:00.000
816,2024-03-17,Khulna,,04:50:00.000,18:15:00.000
817,2024-03-18,Khulna,,04:49:00.000,18:15:00.000
818,2024-03-19,Khulna,,04:48:00.000,18:16:00.000
819,2024-03-20,Khulna,,04:47:00.000,18:16:00.000
820,2024-03-21,Khulna,,04:46:00.000,18:16:00.000
821,2024-03-22,Khulna,,04:45:00.000,18:17:00.000
822,2024-03-23,Khulna,,04:44:00.000,18:17:00.000
823,2024-03-24,Khulna,,04:43:00.000,18:17:00.000
824,2024-03-25,Khulna,,04:42:00.000,18:18:00.000
825,2024-03-26,Khulna,,04:40:00.000,18:18:00.000
826,2024-03-27,Khulna,,04:39:00.000,18:19:00.000
827,2024-03-28,Khulna,,04:38:00.000,18:19:00.000
828,2024-03-29,Khulna,,04:37:00.000,18:20:00.000
829,2024-03-30,Khulna,,04:35:00.000,18:20:00.000
830,2024-03-31,Khulna,,04:34:00.000,18:21:00.000
831,2024-04-01,Khulna,,04:33:00.000,18:21:00.000
832,2024-04-02,Khulna,,04:32:00.000,18:22:00.000
833,2024-04-03,Khulna,,04:31:00.000,18:22:00.000
834,2024-04-04,Khulna,,04:30:00.000,18:22:00.000
835,2024-04-05,Khulna,,04:28:00.000,18:23:00.000
836,2024-04-06,Khulna,,04:28:00.000,18:23:00.000
837,2024-04-07,Khulna,,04:27:00.000,18:24:00.000
838,2024-04-08,Khulna,,04:26:00.000,18:24:00.000
839,2024-04-09,Khulna,,04:25:00.000,18:24:00.000
840,2024-04-10,Khulna,,04:24:00.000,18:25:00.000
841,2024-03-12,Bagerhat,,04:54:00.000,18:12:00.000
842,2024-03-13,Bagerhat,,04:53:00.000,18:12:00.000
843,2024-03-14,Bagerhat,,04:52:00.000,18:13:00.000
844,2024-03-15,Bagerhat,,04:51:00.000,18:13:00.000
845,2024-03-16,Bagerhat,,04:50:00.000,18:14:00.000
846,2024-03-17,Bagerhat,,04:49:00.000,18:14:00.000
847,2024-03-18,Bagerhat,,04:48:00.000,18:14:00.000
848,2024-03-19,Bagerhat,,04:47:00.000,18:15:00.000
849,2024-03-20,Bagerhat,,04:46:00.000,18:15:00.000
850,2024-03-21,Bagerhat,,04:45:00.000,18:15:00.000
851,2024-03-22,Bagerhat,,04:44:00.000,18:16:00.000
852,2024-03-23,Bagerhat,,04:43:00.000,18:16:00.000
853,2024-03-24,Bagerhat,,04:42:00.000,18:16:00.000
854,2024-03-25,Bagerhat,,04:41:00.000,18:17:00.000
855,2024-03-26,Bagerhat,,04:39:00.000,18:17:00.000
856,2024-03-27,Bagerhat,,04:38:00.000,18:18:00.000
857,2024-03-28,Bagerhat,,04:37:00.000,18:18:00.000
858,2024-03-29,Bagerhat,,04:36:00.000,18:19:00.000
859,2024-03-30,Bagerhat,,04:34:00.000,18:19:00.000
860,2024-03-31,Bagerhat,,04:33:00.000,18:20:00.000
861,2024-04-01,Bagerhat,,04:32:00.000,18:20:00.000
862,2024-04-02,Bagerhat,,04:31:00.000,18:21:00.000
863,2024-04-03,Bagerhat,,04:30:00.000,18:21:00.000
864,2024-04-04,Bagerhat,,04:29:00.000,18:21:00.000
865,2024-04-05,Bagerhat,,04:27:00.000,18:22:00.000
866,2024-04-06,Bagerhat,,04:27:00.000,18:22:00.000
867,2024-04-07,Bagerhat,,04:26:00.000,18:23:00.000
